文献,矿名,份,市/县,岩性,密度（kg*m3）,体积模量（Gpa）,剪切模量/GPa,内聚力（MPa）,内摩擦角,抗拉强度（MPa）,抗压强度/MPa,弹性模量（Gpa）,泊松比,埋深,厚度,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,榆林市,表土层,2350,0.55,1.58,2.25,33.46,1.86,,,,200,,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,,粉砂岩,2560,1.14,7.08,11.22,33.3,1.51,,,,200,,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,,中粗砂岩,2577,0.7,1.73,10.08,33.6,1.03,,,,200,,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,,砂质泥岩,2530,1.15,4.76,2.9,33,1.28,,,,200,,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,,泥岩,2753,0.8,3.15,4.26,33,1.05,,,,200,,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,,煤层,1420,0.78,2.56,2.11,29.5,0.26,,,,200,,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,,细砂岩,2582,3.6,11.25,10.22,33.4,1.95,,,,200,,,,,,
富水沟谷区浅埋煤层导水裂隙演化特征,朱家峁煤矿,陕西,,含砾粗砂岩,2653,2.76,5.88,10.11,33.4,1.2,,,,200,,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,鄂尔多斯市,细粒砂岩,,8.44,5.88,1.91,,,32.2,,,535.78,42.28,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,砂质泥岩,,6.55,5.02,2.72,,,18.3,,,578.06,32.88,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,中粒砂岩,,4.34,2.35,2.71,,,28.5,,,610.94,14.41,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,粉砂岩,,10.25,7.38,2.14,,,26.5,,,625.35,9.65,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,2-1煤,,2.85,2.23,1.25,,,15.7,,,635,2.6,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,粉砂岩,,10.25,7.38,2.14,,,26.5,,,637.6,3.7,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,砂质泥岩,,6.55,5.02,2.72,,,18.3,,,641.3,8.95,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,细粒砂岩,,8.44,5.88,1.91,,,32.2,,,650.25,15.7,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,2-2煤,,2.85,2.23,1.25,,,15.7,,,665.95,3.9,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,砂质泥岩,,6.55,5.02,2.72,,,18.3,,,669.85,3.28,,,,,
保护层开采下伏煤岩应力释放与卸压程度识别,葫芦素煤矿,内蒙古,,细粒砂岩,,8.44,5.88,1.91,,,32.2,,,673.13,16.06,,,,,
